Link,Volume Text
15.505 jobs at the Library of Congress (US)
Humanist Discussion Group (by way of Willard McCarty  (Wed Feb 13 2002 - 03:17:35 EST)
15.506 MLA Discussion Group, Computer Studies of Language and Literature
Humanist Discussion Group (by way of Willard McCarty  (Wed Feb 13 2002 - 03:37:52 EST)
15.507 a ""Creative Commons""; Budapest Open Access Initiative
Humanist Discussion Group (by way of Willard McCarty  (Fri Feb 15 2002 - 04:39:59 EST)
15.508 Call for papers: MLA Discussion Group
Humanist Discussion Group (by way of Willard McCarty  (Fri Feb 15 2002 - 04:41:24 EST)
15.509 seminar; conference hosting
Humanist Discussion Group (by way of Willard McCarty  (Fri Feb 15 2002 - 04:43:19 EST)
15.510 MA in humanities computing, King's College London
Humanist Discussion Group (by way of Willard McCarty  (Fri Feb 15 2002 - 04:39:14 EST)
15.511 new on WWW: Ubiquity 2.47
Humanist Discussion Group (by way of Willard McCarty  (Fri Feb 15 2002 - 04:44:11 EST)
15.512 conferences
Humanist Discussion Group (by way of Willard McCarty  (Tue Feb 19 2002 - 06:02:25 EST)
15.513 events
Humanist Discussion Group (by way of Willard McCarty  (Tue Feb 19 2002 - 06:03:46 EST)
15.514 subvocalisation
Humanist Discussion Group (by way of Willard McCarty  (Tue Feb 19 2002 - 06:05:15 EST)
15.515 on what we say
Humanist Discussion Group (by way of Willard McCarty  (Tue Feb 19 2002 - 06:04:22 EST)
15.516 new on WWW: Blake Archive update
Humanist Discussion Group (by way of Willard McCarty  (Tue Feb 19 2002 - 06:05:45 EST)
15.517 call for host
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 21 2002 - 02:04:33 EST)
15.518 conference, seminars
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 21 2002 - 02:04:58 EST)
15.519 e-Humanities lecture
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 21 2002 - 02:05:16 EST)
15.520 fellowships (US)
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 21 2002 - 02:05:37 EST)
15.521 news
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 21 2002 - 02:05:56 EST)
15.522 conferences
Humanist Discussion Group (by way of Willard McCarty  (Mon Feb 25 2002 - 02:37:43 EST)
15.523 job at NINCH (Washington DC)
Humanist Discussion Group (by way of Willard McCarty  (Mon Feb 25 2002 - 02:38:22 EST)
15.524 LLC issue on young scholars
Humanist Discussion Group (by way of Willard McCarty  (Mon Feb 25 2002 - 02:39:21 EST)
15.525 conferences, symposium
Humanist Discussion Group (by way of Willard McCarty  (Wed Feb 27 2002 - 02:54:53 EST)
15.526 job at IATH
Humanist Discussion Group (by way of Willard McCarty  (Wed Feb 27 2002 - 02:55:30 EST)
15.527 author, author!
Humanist Discussion Group (by way of Willard McCarty  (Wed Feb 27 2002 - 02:57:17 EST)
15.528 new on WWW: Scholarly E-Publishing Bibliography v. 41
Humanist Discussion Group (by way of Willard McCarty  (Wed Feb 27 2002 - 02:58:12 EST)
15.529 ALLC/ACH 2002, in Tuebingen (Germany)
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 28 2002 - 01:53:35 EST)
15.530 the terminology of conferencing?
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 28 2002 - 01:57:39 EST)
15.531 UK/US funding opportunity; LDC-ELDA language resources
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 28 2002 - 01:55:52 EST)
15.532 academic job at Arizona State
Humanist Discussion Group (by way of Willard McCarty  (Thu Feb 28 2002 - 01:54:29 EST)
15.553 scholarships for study in Ireland
Humanist Discussion Group (by way of Willard McCarty  (Wed Mar 20 2002 - 04:21:40 EST)
15.554 Empirical Software Engineering, call for papers
Humanist Discussion Group (by way of Willard McCarty  (Wed Mar 20 2002 - 04:22:22 EST)
15.555 new on WWW: JoDI 2.3, Ubiquity 3.5
Humanist Discussion Group (by way of Willard McCarty  (Wed Mar 20 2002 - 04:34:13 EST)
15.556 studentship; ELRA news; Theatron honoured
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 01 2002 - 06:00:14 EST)
15.557 conferences
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 01 2002 - 06:00:39 EST)
15.558 on work in languages other than English
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 01 2002 - 06:01:36 EST)
15.559 new on WWW: JoDI, Ubiquity, JEP
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 01 2002 - 06:03:17 EST)
15.560 monolingualism
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 02 2002 - 02:57:38 EST)
15.561 the LIQUID Project: access to multilingual textbases
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 04 2002 - 01:11:52 EST)
15.562 Conferencias Magistrales (Santiago, Cuba); New Perspectives on 21C Communications
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 04 2002 - 01:13:45 EST)
15.563 monolingualism
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 04 2002 - 01:14:18 EST)
15.564 new on WWW: Stoa's first born-digital book; Ubiquity 3.7
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 04 2002 - 01:15:10 EST)
15.565 ELRA News; new AMICO distributor
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 08 2002 - 02:11:10 EDT)
15.566 conferences; online symposium
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 08 2002 - 02:12:01 EDT)
15.567 monolingualism
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 08 2002 - 02:12:28 EDT)
15.568 how academic publications and events are advertised
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 08 2002 - 02:13:22 EDT)
15.569 new on WWW: interview; Parzival; metadata; papers
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 08 2002 - 02:14:32 EDT)
15.572 American Memory collection; eScholarship Repository
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 09 2002 - 03:06:12 EDT)
15.573 online reproduction request form
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 09 2002 - 03:06:42 EDT)
15.574 LangTech 2002; Copyright Conference
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 09 2002 - 03:07:23 EDT)
15.575 monolingualism & Humanist
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 09 2002 - 03:08:34 EDT)
15.576 (corrected version) Stellenbibliographie zum ""Parzival"" Wolframs von Eschenbach
Willard McCarty (Wed Apr 10 2002 - 03:29:38 EDT)
15.576 Stellenbibliographie zum ""Parzival"" Wolframs von Eschenbach
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 10 2002 - 03:05:51 EDT)
15.577 what cannot (at the moment) be said
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 10 2002 - 03:06:45 EDT)
15.578 new on WWW: Ubiquity 3.8
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 10 2002 - 03:07:09 EDT)
15.579 what computing has to do with life
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 10 2002 - 03:08:37 EDT)
15.580 JoDI survey & calls for papers
Humanist Discussion Group (by way of Willard McCarty  (Fri Apr 12 2002 - 01:47:50 EDT)
15.581 NEH project funding guidelines (US)
Humanist Discussion Group (by way of Willard McCarty  (Fri Apr 12 2002 - 01:49:01 EDT)
15.582 Scholarly Communication Institute
Humanist Discussion Group (by way of Willard McCarty  (Sat Apr 13 2002 - 12:39:11 EDT)
15.583 most significant events in humanities computing?
Humanist Discussion Group (by way of Willard McCarty  (Sat Apr 13 2002 - 12:44:26 EDT)
15.584 events: hypertext (online), humanities computing
Humanist Discussion Group (by way of Willard McCarty  (Sun Apr 14 2002 - 03:22:25 EDT)
15.585 new members in AMICO
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 17 2002 - 03:19:35 EDT)
15.586 cfp: Word Formation and Chinese Language Processing
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 17 2002 - 03:17:52 EDT)
15.587 forum, workshop, symposium, conferences
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 17 2002 - 03:19:06 EDT)
15.588 most significant events
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 17 2002 - 03:18:26 EDT)
15.589 job at GUIDE/STELLA (Glasgow)
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 17 2002 - 03:20:28 EDT)
15.590 book recommendation, with query
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 17 2002 - 03:22:58 EDT)
15.591 conference, symposium, summer seminars, forum
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 22 2002 - 02:12:20 EDT)
15.592 news from ELRA
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 22 2002 - 02:14:37 EDT)
15.593 Lyman Award; Grusin at WVU
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 22 2002 - 02:13:35 EDT)
15.594 significant events in humanities computing
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 22 2002 - 02:15:10 EDT)
15.595 postdoctoral position
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 22 2002 - 02:15:43 EDT)
15.596 new on WWW
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 22 2002 - 02:16:45 EDT)
15.597 conferences
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 24 2002 - 01:46:12 EDT)
15.598 perceived value of a European Graduate School PhD?
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 24 2002 - 01:49:35 EDT)
15.599 new on WWW: Best of the Web 2002; Ubiquity 3.10
Humanist Discussion Group (by way of Willard McCarty  (Wed Apr 24 2002 - 01:50:19 EDT)
15.600 Rosy at netLibrary (OCLC)
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 25 2002 - 01:50:15 EDT)
15.601 Language Resources and Evaluation conference
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 25 2002 - 01:50:45 EDT)
15.602 seeking advice for an online edn
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 25 2002 - 01:51:17 EDT)
15.603 pencil and paper
Humanist Discussion Group (by way of Willard McCarty  (Thu Apr 25 2002 - 01:52:13 EDT)
15.604 workshop: Towards a Roadmap for Multimodal Language Resources and Evaluation
Humanist Discussion Group (by way of Willard McCarty  (Fri Apr 26 2002 - 02:28:16 EDT)
15.605 advice for an online edition
Humanist Discussion Group (by way of Willard McCarty  (Fri Apr 26 2002 - 02:28:47 EDT)
15.606 European Graduate School URL correction
Humanist Discussion Group (by way of Willard McCarty  (Fri Apr 26 2002 - 02:29:23 EDT)
15.607 job at Virginia
Humanist Discussion Group (by way of Willard McCarty  (Fri Apr 26 2002 - 02:29:43 EDT)
15.608 pencil and paper
Humanist Discussion Group (by way of Willard McCarty  (Fri Apr 26 2002 - 02:34:20 EDT)
15.609 course; conference
Humanist Discussion Group (by way of Willard McCarty  (Sat Apr 27 2002 - 02:40:23 EDT)
15.610 advice for an online edition, and a query
Humanist Discussion Group (by way of Willard McCarty  (Sat Apr 27 2002 - 02:41:22 EDT)
15.611 pencil and paper
Humanist Discussion Group (by way of Willard McCarty  (Sat Apr 27 2002 - 02:40:42 EDT)
15.612 ALLC/ACH pre-registration (URGENT)
Humanist Discussion Group (by way of Willard McCarty  (Sat Apr 27 2002 - 05:42:12 EDT)
15.613 problems with Humanist
Humanist Discussion Group (by way of Willard McCarty  (Sat Apr 27 2002 - 05:55:17 EDT)
15.614 advice for an online edition, plus another query
Humanist Discussion Group (by way of Willard McCarty  (Sun Apr 28 2002 - 04:22:43 EDT)
15.615 NEH Preservation and Access deadline
Humanist Discussion Group (by way of Willard McCarty  (Sun Apr 28 2002 - 04:23:18 EDT)
15.616 new on WWW: CIT Infobits April 2002
Humanist Discussion Group (by way of Willard McCarty  (Sun Apr 28 2002 - 04:23:43 EDT)
15.617 images & text
Humanist Discussion Group (by way of Willard McCarty  (Mon Apr 29 2002 - 02:00:27 EDT)
15.618 Winograd & Flores in several languages
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 30 2002 - 02:22:28 EDT)
15.619 NLPXML workshop
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 30 2002 - 02:23:12 EDT)
15.620 images in and beyond editions
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 30 2002 - 02:24:09 EDT)
15.621 new on WWW: IP policy report
Humanist Discussion Group (by way of Willard McCarty  (Tue Apr 30 2002 - 02:24:47 EDT)
15.622 Summer Institutes at Malaspina (BC, Canada)
Humanist Discussion Group (by way of Willard McCarty  (Wed May 01 2002 - 01:52:50 EDT)
15.623 decentring and imaging
Humanist Discussion Group (by way of Willard McCarty  (Wed May 01 2002 - 01:53:21 EDT)
15.624 job at ArtSTOR
Humanist Discussion Group (by way of Willard McCarty  (Wed May 01 2002 - 01:53:45 EDT)
15.625 Film/slide/microfilm scanners?
Humanist Discussion Group (by way of Willard McCarty  (Wed May 01 2002 - 01:54:49 EDT)
15.626 new on WWW: Ubiquity 3.11; report on online resource use
Humanist Discussion Group (by way of Willard McCarty  (Wed May 01 2002 - 01:54:23 EDT)
15.627 indexing software?
Humanist Discussion Group (by way of Willard McCarty  (Thu May 02 2002 - 01:38:23 EDT)
15.628 Scholars Portal; Kent State at Baruch
Humanist Discussion Group (by way of Willard McCarty  (Fri May 03 2002 - 01:21:55 EDT)
15.629 conferences
Humanist Discussion Group (by way of Willard McCarty  (Fri May 03 2002 - 01:21:21 EDT)
15.630 advice for an online edition
Humanist Discussion Group (by way of Willard McCarty  (Fri May 03 2002 - 01:22:22 EDT)
15.631 Paul Evan Peters Scholarship
Humanist Discussion Group (by way of Willard McCarty  (Fri May 03 2002 - 01:22:44 EDT)
15.632 violation of copyright?
Humanist Discussion Group (by way of Willard McCarty  (Fri May 03 2002 - 01:23:12 EDT)
15.633 violations of copyright
Humanist Discussion Group (by way of Willard McCarty  (Sat May 04 2002 - 04:05:34 EDT)
15.634 Urgent Business Proposal, hello darling & THIS IS NOT SPAM
Humanist Discussion Group (by way of Willard McCarty  (Sat May 04 2002 - 04:05:11 EDT)
15.635 OCR for handwriting?
Humanist Discussion Group (by way of Willard McCarty  (Sat May 04 2002 - 04:06:04 EDT)
15.636 handwriting recognition
Humanist Discussion Group (by way of Willard McCarty  (Sun May 05 2002 - 02:24:33 EDT)
15.637 Urgent Business Proposals
Humanist Discussion Group (by way of Willard McCarty  (Sun May 05 2002 - 02:26:37 EDT)
15.638 cultural divisions
Humanist Discussion Group (by way of Willard McCarty  (Mon May 06 2002 - 05:57:50 EDT)
15.639 handwriting recognition
Humanist Discussion Group (by way of Willard McCarty  (Mon May 06 2002 - 05:58:11 EDT)
15.640 Urgent Business Proposals, email-order degrees, enlargements & the Secret Service
Humanist Discussion Group (by way of Willard McCarty  (Mon May 06 2002 - 05:59:57 EDT)
Academic Discount Software 11
edu_software200211@excite.com (Tue Apr 02 2002 - 00:01:08 EST)
Digest of announce from remdigest
Humanist Discussion Group (Wed Jul 11 2001 - 21:49:20 EDT)
Digest of job from remdigest
Humanist Discussion Group (Wed Jul 11 2001 - 21:49:21 EDT)
Digest of request from remdigest
Humanist Discussion Group (Wed Jul 11 2001 - 21:49:21 EDT)
Digest of toad from remdigest
Humanist Discussion Group (Wed Jul 11 2001 - 21:49:22 EDT)


Last message date: Mon May 06 2002 - 06:18:36 EDT
Archived on: Mon May 06 2002 - 06:18:45 EDT

600 messages sorted by:
[ author ]
[ date ]
[ thread ]





This archive was generated by hypermail 2b30 
: Mon May 06 2002 - 06:18:45 EDT




"
Volume 165/02-5/03,"


Humanist.Archives.Vol.16: By Subject



Humanist.Archives.Vol.16By Subject
658 messages sorted by:
[ author ]
[ date ]
[ thread ]

Starting: Tue May 07 2002 - 02:05:10 EDT
Ending: Tue May 06 2003 - 03:53:32 EDT

16.001 Happy 15th Birthday!
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:45:18 EDT)
16.002 Lyman Award to Jerome McGann
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:46:24 EDT)
16.003 cultural divisions
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:47:58 EDT)
16.004 Archiving the Avant Garde
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:46:59 EDT)
16.005 OCR and handwriting
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:48:21 EDT)
16.006 violations of copyright
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:47:33 EDT)
16.007 Urgent Business Proposals and the Ontario Provincial Police
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:48:50 EDT)
16.008 new on WWW: American Memory; First Monday
Humanist Discussion Group (by way of Willard McCarty  (Tue May 07 2002 - 01:49:28 EDT)
16.009 almost sweet 16, or no Little Red Book here!
Humanist Discussion Group (by way of Willard McCarty  (Wed May 08 2002 - 02:05:22 EDT)
16.010 cultural divisions
Humanist Discussion Group (by way of Willard McCarty  (Wed May 08 2002 - 02:07:33 EDT)
16.011 summer seminars on Grindstone
Humanist Discussion Group (by way of Willard McCarty  (Wed May 08 2002 - 02:08:05 EDT)
16.012 ELRA news; digital preservation activities
Humanist Discussion Group (by way of Willard McCarty  (Wed May 08 2002 - 02:08:38 EDT)
16.013 author?
Humanist Discussion Group (by way of Willard McCarty  (Wed May 08 2002 - 02:09:20 EDT)
16.014 Urgent Business Proposals (419)
Humanist Discussion Group (by way of Willard McCarty  (Wed May 08 2002 - 02:09:59 EDT)
16.015 summer seminar; symposium; call for papers
Humanist Discussion Group (by way of Willard McCarty  (Fri May 10 2002 - 01:37:35 EDT)
16.016 OCRing handwriting
Humanist Discussion Group (by way of Willard McCarty  (Fri May 10 2002 - 01:38:10 EDT)
16.017 classical Latin drama in TEI markup?
Humanist Discussion Group (by way of Willard McCarty  (Fri May 10 2002 - 01:38:42 EDT)
16.018 Urgent Business Proposals
Humanist Discussion Group (by way of Willard McCarty  (Fri May 10 2002 - 01:39:12 EDT)
16.019 new on WWW: digital content guide; US preservation site; funding info
Humanist Discussion Group (by way of Willard McCarty  (Fri May 10 2002 - 01:40:14 EDT)
16.020 cultural divisions
Humanist Discussion Group (by way of Willard McCarty  (Fri May 10 2002 - 07:45:12 EDT)
16.022 happy birthday Humanist
Humanist Discussion Group (by way of Willard McCarty  (Tue May 14 2002 - 01:17:25 EDT)
16.023 read it tonight
Humanist Discussion Group (by way of Willard McCarty  (Tue May 14 2002 - 01:22:09 EDT)
16.024 WorldCALL; CATaC'02
Humanist Discussion Group (by way of Willard McCarty  (Fri May 17 2002 - 02:05:04 EDT)
16.025 anti-plagarism software?
Humanist Discussion Group (by way of Willard McCarty  (Fri May 17 2002 - 02:05:30 EDT)
16.026 new on WWW: Ubiquity 3.13
Humanist Discussion Group (by way of Willard McCarty  (Fri May 17 2002 - 02:06:00 EDT)
16.027 corpus-building questionnaire
Humanist Discussion Group (by way of Willard McCarty  (Fri May 17 2002 - 02:10:28 EDT)
16.028 ACL-02 conference
Humanist Discussion Group (by way of Willard McCarty  (Sat May 18 2002 - 04:44:29 EDT)
16.029 anti-plagarism software
Humanist Discussion Group (by way of Willard McCarty  (Sat May 18 2002 - 04:46:23 EDT)
16.031 anti-plagarism software
Humanist Discussion Group (by way of Willard McCarty  (Tue May 21 2002 - 02:09:25 EDT)
16.032 new books
Humanist Discussion Group (by way of Willard McCarty  (Wed May 22 2002 - 01:50:16 EDT)
16.033 call for submissions: New Review of Hypermedia and Multimedia
Humanist Discussion Group (by way of Willard McCarty  (Wed May 22 2002 - 01:51:18 EDT)
16.034 conferences
Humanist Discussion Group (by way of Willard McCarty  (Wed May 22 2002 - 01:51:56 EDT)
16.035 postgraduate study?
Humanist Discussion Group (by way of Willard McCarty  (Wed May 22 2002 - 01:52:37 EDT)
16.036 Summer Publishing Institute for Professionals (Virginia)
Humanist Discussion Group (by way of Willard McCarty  (Wed May 22 2002 - 01:53:19 EDT)
16.037 NINCH highlighted at ALA
Humanist Discussion Group (by way of Willard McCarty  (Thu May 23 2002 - 04:26:25 EDT)
16.038 conference on Greek, Arabic and Latin Commentaries
Humanist Discussion Group (by way of Willard McCarty  (Thu May 23 2002 - 04:27:41 EDT)
16.039 work-placement opportunities wanted in London area
Humanist Discussion Group (by way of Willard McCarty  (Thu May 23 2002 - 04:27:03 EDT)
16.040 new on WWW: Ubiquity 3.14
Humanist Discussion Group (by way of Willard McCarty  (Thu May 23 2002 - 04:28:14 EDT)
16.041 interest in visual anthropology webcasts?
Humanist Discussion Group (by way of Willard McCarty  (Fri May 24 2002 - 02:05:14 EDT)
16.042 call for articles: ""Online Lives""
Humanist Discussion Group (by way of Willard McCarty  (Fri May 24 2002 - 01:51:01 EDT)
16.043 silence and flood
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:18:14 EDT)
16.044 Summer Institute 2002 - Creating Electronic Texts and Images
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:19:07 EDT)
16.045 conferences
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:19:53 EDT)
16.046 on Winograd and Flores, Understanding Computers & Cognition
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:21:13 EDT)
16.047 job at the Ashmolean, Oxford
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:21:52 EDT)
16.048 stolen moments, resurfaced
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:22:28 EDT)
16.049 NEH Summer Stipends 2003
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:23:06 EDT)
16.050 postprint projects?
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:23:26 EDT)
16.051 Report of the Workshop on Digital Imagery for Works of Art
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:23:55 EDT)
16.052 new on WWW: EMLS, Humbul, Ubiquity, CIT Infobits
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 03 2002 - 07:24:47 EDT)
16.054 new on WWW: Forum: Qualitative Social Research/Sozialforschung 8
Humanist Discussion Group (by way of Willard McCarty  (Tue Jun 04 2002 - 02:41:13 EDT)
16.055 job at Stanford
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 06 2002 - 02:39:28 EDT)
16.056 new on WWW: Ubiquity 3.16; First Monday 7.6; H-Museum
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 06 2002 - 02:41:21 EDT)
16.057 Summer courses at University College London
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 07 2002 - 03:34:11 EDT)
16.058 seeing the sharp edges
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 07 2002 - 03:36:25 EDT)
16.059 ESSLLI 2003 call for proposals
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 10 2002 - 02:22:01 EDT)
16.060 new on WWW: standard for digital stills; report on technology & digitization
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 10 2002 - 02:23:07 EDT)
16.061 Grau on telepresence
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 10 2002 - 02:23:58 EDT)
16.062 on certainty
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 10 2002 - 02:48:59 EDT)
16.063 DRH 2002 in Edinburgh
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 10 2002 - 02:49:32 EDT)
16.064 highly constrained language?
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 10 2002 - 02:49:57 EDT)
16.065 new book: Model-based Reasoning
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 13 2002 - 02:44:35 EDT)
16.066 ESSLLI 2003 topic suggestions
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 13 2002 - 02:41:06 EDT)
16.067 highly constrained languages (& who was alert?)
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 13 2002 - 02:42:15 EDT)
16.068 models and memory lapses
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 13 2002 - 02:43:26 EDT)
16.069 new on WWW: Th Gray Archive; ""The Future of Literary Studies""
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 13 2002 - 02:42:54 EDT)
16.070 fellowship competition
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 14 2002 - 01:09:04 EDT)
16.071 highly constrained language
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 14 2002 - 01:10:24 EDT)
16.072 JoDI special issue on Interactivity in Digital Libraries
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 14 2002 - 01:09:53 EDT)
16.073 highly constrained language
Humanist Discussion Group (by way of Willard McCarty  (Sat Jun 15 2002 - 02:29:00 EDT)
16.074 summer seminars at Oxford
Humanist Discussion Group (by way of Willard McCarty  (Sat Jun 15 2002 - 02:29:23 EDT)
16.075 Protocol for Metadata Harvesting
Humanist Discussion Group (by way of Willard McCarty  (Sat Jun 15 2002 - 02:29:54 EDT)
16.076 attending from highly constrained language
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 17 2002 - 01:18:41 EDT)
16.077 TEI P4 in print
Humanist Discussion Group (by way of Willard McCarty  (Tue Jun 18 2002 - 01:45:27 EDT)
16.078 Webcast on higher education
Humanist Discussion Group (by way of Willard McCarty  (Tue Jun 18 2002 - 01:46:52 EDT)
16.079 COLING-02 tutorials; UCLA/Getty Summer Institute
Humanist Discussion Group (by way of Willard McCarty  (Wed Jun 19 2002 - 05:38:46 EDT)
16.080 highly constrained languages
Humanist Discussion Group (by way of Willard McCarty  (Wed Jun 19 2002 - 05:39:39 EDT)
16.081 new on WWW: Ubiquity 3.18
Humanist Discussion Group (by way of Willard McCarty  (Wed Jun 19 2002 - 05:40:10 EDT)
16.082 new book on Anaphora Resolution
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 21 2002 - 04:33:28 EDT)
16.083 conferences
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 21 2002 - 04:34:00 EDT)
16.084 highly constrained languages
Humanist Discussion Group (by way of Willard McCarty  (Fri Jun 21 2002 - 04:37:27 EDT)
16.085 Document Explorer 6.0
Humanist Discussion Group (by way of Willard McCarty  (Sat Jun 22 2002 - 03:42:02 EDT)
16.086 call for mentors & job-seekers
Humanist Discussion Group (by way of Willard McCarty  (Sat Jun 22 2002 - 03:42:44 EDT)
16.087 Butler on prosthesis?
Humanist Discussion Group (by way of Willard McCarty  (Sat Jun 22 2002 - 03:43:14 EDT)
16.088 new on WWW: Ubiquity article; Scholarly E-Pub Bibliography ver 43
Humanist Discussion Group (by way of Willard McCarty  (Sat Jun 22 2002 - 03:44:04 EDT)
16.089 Samuel Butler on prosthesis
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 24 2002 - 04:04:56 EDT)
16.090 chat event for artists & writers
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 24 2002 - 04:05:42 EDT)
16.091 articles on cyberculture
Humanist Discussion Group (by way of Willard McCarty  (Mon Jun 24 2002 - 04:06:58 EDT)
16.092 detachment from attachments
Humanist Discussion Group (by way of Willard McCarty  (Tue Jun 25 2002 - 03:47:49 EDT)
16.094 Samuel Butler (and others) on prosthesis
Humanist Discussion Group (by way of Willard McCarty  (Tue Jun 25 2002 - 03:51:34 EDT)
16.095 evaluation of music IR and music DL systems?
Humanist Discussion Group (by way of Willard McCarty  (Tue Jun 25 2002 - 03:52:29 EDT)
16.096 texts in Document Explorer
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 27 2002 - 07:01:19 EDT)
16.097 conferences
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 27 2002 - 07:01:45 EDT)
16.098 urgent help for humanities computing in Italy
Humanist Discussion Group (by way of Willard McCarty  (Thu Jun 27 2002 - 07:03:42 EDT)
